...
| rollout/                |              |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2040         |
|    time_elapsed         | 52394        |
|    total_timesteps      | 2937600      |
| train/                  |              |
|    approx_kl            | 0.0033056529 |
|    clip_fraction        | 0.0172       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.36        |
|    explained_variance   | -0.0131      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20390        |
|    policy_gradient_loss | -0.00327     |
|    std                  | 51.5         |
|    value_loss           | 5.54e-07     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2041          |
|    time_elapsed         | 52395         |
|    total_timesteps      | 2939040       |
| train/                  |               |
|    approx_kl            | 0.00026750242 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.36         |
|    explained_variance   | 0.149         |
|    learning_rate        | 0.0001        |
|    loss                 | -0.268        |
|    n_updates            | 20400         |
|    policy_gradient_loss | -0.00045      |
|    std                  | 51.7          |
|    value_loss           | 7.73e-07      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2041          |
|    time_elapsed         | 52395         |
|    total_timesteps      | 2939040       |
| train/                  |               |
|    approx_kl            | 0.00026750242 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.36         |
|    explained_variance   | 0.149         |
|    learning_rate        | 0.0001        |
|    loss                 | -0.268        |
|    n_updates            | 20400         |
|    policy_gradient_loss | -0.00045      |
|    std                  | 51.7          |
|    value_loss           | 7.73e-07      |
-------------------------------------------
Eval num_timesteps=2940000, episode_reward=-0.36 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.357       |
| time/                   |              |
|    total_timesteps      | 2940000      |
| train/                  |              |
|    approx_kl            | 0.0007900876 |
|    clip_fraction        | 0.000278     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.37        |
|    explained_variance   | 0.131        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20410        |
|    policy_gradient_loss | -0.00107     |
|    std                  | 51.8         |
|    value_loss           | 1.02e-06     |
------------------------------------------
Eval num_timesteps=2940000, episode_reward=-0.36 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.357       |
| time/                   |              |
|    total_timesteps      | 2940000      |
| train/                  |              |
|    approx_kl            | 0.0007900876 |
|    clip_fraction        | 0.000278     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.37        |
|    explained_variance   | 0.131        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20410        |
|    policy_gradient_loss | -0.00107     |
|    std                  | 51.8         |
|    value_loss           | 1.02e-06     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
